序号,★古树名木编号,古树群编号,调查样方号,★古树名木类别,★省名称,★省编码,★市名称,★市编码,★县名称,★县编码,★乡镇（街道）,★乡镇（街道）编码,村（居委会）,村（居委会）编码,小地名,★树种-科,★树种-属,★树种-中文名,树种-学名,树种-俗名,★生长场所,★分布特点,★经度,★纬度,★权属,特征代码,★树龄,古树等级,★树龄测定方法,★树高（米）,★胸围（厘米）,★地围（厘米）,★平均冠幅（米）,★东西冠幅（米）,★南北冠幅（米）,海拔（米）,坡向,坡度,坡位,★土壤类型,★土层厚度,★土壤紧密度,★生长势,★生长环境,树体损伤,树体损伤具体描述,潜在损伤原因,潜在损伤原因其他描述,★新增古树名木原因,古树历史资料,★养护责任人类别,★养护责任人,★主管部门,树木奇特状况描述,树种鉴定记载,保护措施,养护复壮现状,照片说明,★照片数量,照片保存位置,死亡时间,死亡原因,处置措施,移植时间,移植原因,原地信息,移植方案,★调查人,★调查日期,审核人,审核日期,名木类别,名木栽植人,名木栽植日期,原挂牌号,档案年度,备注,省古树编号
54,59,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.03501600°,48.71229100°,国有,,221.73,3,回归估测,14,219.8,282.6,7.5,9,6,1425,西坡,缓坡,中部,灰色森林土,13,中等,良好,良好,中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
55,61,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02286133°,48.70714167°,国有,,100,3,回归估测,22,197.82,204.1,3,3,3,1368.9,无坡向,平坡,平地,灰色森林土,41,中等,差,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
56,63,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02351733°,48.70664167°,国有,,110.78,3,回归估测,12,219.8,329.7,8,8,8,1366.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,树皮损伤，中部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
57,68,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02604900°,48.70565167°,国有,,100,3,回归估测,20,197.82,235.5,5,5,5,1369.3,西南,缓坡,低部,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
58,70,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02640933°,48.70557183°,国有,,107.32,3,回归估测,20,213.52,226.08,5.5,5,6,1371,西南,缓坡,中部,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
59,73,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02639150°,48.70524533°,国有,,102.12,3,回归估测,17,204.1,210.38,7,6,8,1368,无坡向,平坡,平地,灰色森林土,41,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
60,75,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02666500°,48.70507400°,国有,,103.85,3,回归估测,24,207.24,207.24,5,4,6,1359.8,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
61,78,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02708650°,48.70449300°,国有,,203.25,3,回归估测,20,204.1,229.22,10.5,10,11,1373.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
62,79,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02769367°,48.70443133°,国有,,128.09,3,回归估测,27,251.2,288.88,10,10,10,1367.2,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
63,80,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02788033°,48.70448267°,国有,,110.78,3,回归估测,20,219.8,257.48,8.5,8,9,1378.1,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
64,81,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02781433°,48.70442717°,国有,,149,3,回归估测,19,172.7,188.4,4,4,4,1380.8,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
65,82,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02718850°,48.70405600°,国有,,240.21,3,回归估测,23,235.5,279.46,5,5,5,1373.8,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
66,83,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02684567°,48.70406983°,国有,,149,3,回归估测,19,172.7,251.2,6,6,6,1371.4,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
67,86,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02688967°,48.70257500°,国有,,168.4,3,回归估测,19,182.12,204.1,4,5,3,1366.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
68,90,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02801217°,48.70140850°,国有,,110.78,3,回归估测,24,219.8,235.5,5,5,5,1365.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
69,91,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02793133°,48.70131350°,国有,,100,3,回归估测,19,193.424,226.08,4,5,3,1370,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
70,93,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02816683°,48.70115633°,国有,,103.85,3,回归估测,21,207.24,244.92,4.75,5,4.5,1370.3,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
71,96,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02816533°,48.70108383°,国有,,141,3,回归估测,21,167.99,200.96,3.75,3.5,4,1367.5,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
72,97,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02802650°,48.70105117°,国有,,110.78,3,回归估测,22,219.8,235.5,4.75,4,5.5,1362.5,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
73,100,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02833200°,48.70080817°,国有,,100,3,回归估测,18,194.68,229.22,3.25,3,3.5,1366.2,无坡向,平坡,平地,灰色森林土,41,中等,差,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
74,103,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02882700°,48.70010583°,国有,,240.21,3,回归估测,22,235.5,314,3,2.5,3.5,1360.7,无坡向,平坡,平地,灰色森林土,41,中等,差,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
75,105,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02891817°,48.69943250°,国有,,168.4,3,回归估测,20,182.12,244.92,3.5,3,4,1362.2,无坡向,平坡,平地,灰色森林土,41,中等,差,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
76,106,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02920617°,48.69814600°,国有,,225.43,3,回归估测,23,222.94,270.04,3.25,3,3.5,1354.5,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
77,107,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02918833°,48.69803383°,国有,,143.4,3,回归估测,17,169.56,204.1,3,3,3,1356.8,无坡向,平坡,平地,灰色森林土,41,中等,差,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
78,108,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02923133°,48.69787083°,国有,,277.17,3,回归估测,21,266.9,345.4,4.5,4,5,1358.7,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
79,109,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02899883°,48.69777350°,国有,,221.73,3,回归估测,21,219.8,307.72,3,3,3,1359.2,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
80,110,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02897750°,48.69771150°,国有,,206.95,3,回归估测,19,207.24,235.5,4.75,4,5.5,1360.3,无坡向,平坡,平地,灰色森林土,41,中等,差,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
81,114,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02954217°,48.69704650°,国有,,203.25,3,回归估测,18,204.1,263.76,7.75,8,7.5,1359.5,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
82,116,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02906083°,48.69614150°,国有,,132.3,3,回归估测,19,160.14,204.1,4.5,4,5,1358.2,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
83,117,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02899500°,48.69613500°,国有,,149,3,回归估测,17,172.7,213.52,3,3,3,1360.8,无坡向,平坡,平地,灰色森林土,41,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
84,118,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02913717°,48.69551333°,国有,,105.58,3,回归估测,20,210.38,244.92,4.5,5,4,1361.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
85,119,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02849183°,48.69468483°,国有,,181.1,3,回归估测,19,188.4,232.36,3.5,4,3,1362.8,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
86,122,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02824450°,48.69442117°,国有,,203.25,3,回归估测,16,204.1,266.9,5.25,6,4.5,1360.1,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
87,126,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02781300°,48.69420517°,国有,,103.85,3,回归估测,19,207.24,251.2,6,6,6,1362.6,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
88,130,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02690167°,48.69393067°,国有,,100,3,回归估测,17,197.82,235.5,4.5,4,5,1353.7,无坡向,平坡,平地,灰色森林土,41,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
89,131,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,87.02688100°,48.69393583°,国有,,102.12,3,回归估测,19,204.1,238.64,5.75,6,5.5,1356.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
90,132,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,喀纳斯湖,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,87.02867583°,48.69452167°,国有,,247.6,3,回归估测,20,241.78,279.46,4.75,5,4.5,1360.9,无坡向,平坡,平地,灰色森林土,41,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
91,133,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99150517°,48.72101633°,国有,,130.1,3,回归估测,15,157,196.25,4.5,5,4,1921.5,东北,陡坡,高位,灰色森林土,10,中等,良好,良好,树干顶部断裂,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
92,134,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99154533°,48.72125517°,国有,,130.1,3,回归估测,15,157,204.1,4.25,5,3.5,1926.3,东北,陡坡,高位,灰色森林土,10,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
93,135,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99136967°,48.72208100°,国有,,103.5,3,回归估测,14,131.88,157,5,6,4,1950.7,东北,陡坡,高位,灰色森林土,30,中等,良好,差,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
94,136,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99159967°,48.72190067°,国有,,142.4,3,回归估测,16,168.932,204.1,4.5,5,4,1939.3,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
95,137,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99139300°,48.72283067°,国有,,117.9,3,回归估测,15,141.3,163.28,3.75,4,3.5,1960.4,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
96,138,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99162100°,48.72306617°,国有,,191.7,3,回归估测,16,194.68,260.62,3,3,3,1959.5,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
97,139,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99150500°,48.72300950°,国有,,155.2,3,回归估测,15,175.84,200.96,3.5,4,3,1958.1,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
98,140,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99154433°,48.72317583°,国有,,181.1,3,回归估测,16,188.4,219.8,4,4,4,1962,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
99,141,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99147717°,48.72328667°,国有,,149,3,回归估测,15,172.7,204.1,3.5,3,4,1969.9,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
100,142,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99149200°,48.72330600°,国有,,124.2,3,回归估测,15,147.58,166.42,3.5,4,3,1970.5,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
101,143,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99144000°,48.72337533°,国有,,149,3,回归估测,15,172.7,204.1,3.75,4.5,3,1970.1,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
102,144,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99150533°,48.72360400°,国有,,138.7,3,回归估测,15,166.42,200.96,3,3,3,1974.5,东北,陡坡,高位,灰色森林土,30,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
103,145,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99162833°,48.72365717°,国有,,191.7,3,回归估测,16,194.68,204.1,4,4,4,1973.8,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
104,146,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,落叶松属,新疆落叶松,Larix Sibirica,,乡村,散生,86.99070200°,48.72462000°,国有,,124.2,3,回归估测,13,147.58,169.56,4,5,3,2006.4,无坡向,平坡,平地,灰色森林土,25,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
105,147,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,86.99014383°,48.72519217°,国有,,117.7,3,回归估测,13,232.36,339.12,5,6,4,2000.1,南坡,缓坡,高位,灰色森林土,40,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
106,148,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,86.99031433°,48.72474833°,国有,,136.74,3,回归估测,16,266.9,345.4,5.25,5.5,5,1996.2,南坡,缓坡,高位,灰色森林土,40,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
107,155,,,古树,新疆维吾尔自治区,65,阿勒泰地区,6543,布尔津县,654321,禾木哈纳斯蒙古民族乡,654321205,哈纳斯村委会,654321205201,观鱼台,松科,云杉属,西伯利亚云杉,Picea obovata,,乡村,散生,86.99030417°,48.72423850°,国有,,119.43,3,回归估测,13,235.5,270.04,3,4,2,1990,南坡,缓坡,高位,灰色森林土,40,中等,良好,良好,,,,,遗漏树木,无,,,,,,,,,3,,,,,,,,,,,,,,,,,2025,,
